commit	strategy	model_name	n_free_params	n_subjects	n_opt_steps	lr	noise_sigma	spectral_loss	free_energy	theta_map	wall_time	status
9152d9f	multi_param_cosine_lr_4params_cosine	cbei	4	2	200	0.05	0.0005	1861.892578125	-1868.3303297747364	[0.0, -0.5705423355102539, 0.007356748450547457, -0.5188873410224915]	43.94383982400177	ok
9152d9f	multi_param_cosine_lr_4params_cosine	cbei	4	2	200	0.05	0.0005	1868.5865478515625	-1875.0242995012989	[0.0, -0.32814881205558777, 0.007507758215069771, -0.4579905569553375]	46.48651110200444	ok
9152d9f	multi_param_cosine_lr_3params_warmup	liley	3	2	150	0.03	0.001	341.9107360839844	-346.7390498212867	[6.509212493896484, 0.0013670178595930338, 0.6472907066345215]	37.49801286001457	ok
9152d9f	multi_param_cosine_lr_3params_warmup	liley	3	2	150	0.03	0.001	342.0072021484375	-346.8355158857398	[6.509269714355469, 0.001356129301711917, 0.647321343421936]	37.58054776798235	ok
9152d9f	multi_param_cosine_lr_3params_warmup	cmc	3	2	150	0.03	0.001	17.135221481323242	-21.963535218625545	[-0.9744206070899963, -0.9743828773498535, -0.6221550703048706]	33.149862463003956	ok
9152d9f	multi_param_cosine_lr_3params_warmup	cmc	3	2	150	0.03	0.001	17.1372127532959	-21.9655264905982	[-0.9744775891304016, -0.9744402766227722, -0.6221142411231995]	32.774406687007286	ok
9152d9f	multi_param_cosine_lr_3params_warmup	rrw	3	2	150	0.03	0.001	2081.099853515625	-2085.9281672529273	[0.0, 0.0034450881648808718, -0.0018372256308794022]	35.28811199194752	ok
9152d9f	multi_param_cosine_lr_3params_warmup	rrw	3	2	150	0.03	0.001	2088.5888671875	-2093.4171809248023	[0.0, 0.001973215490579605, -0.0010975715704262257]	33.00095151900314	ok
9152d9f	multi_param_cosine_lr_3params_warmup	cbei	3	2	150	0.03	0.001	1757.640380859375	-1762.4686945966773	[0.0, -0.12001876533031464, -2.9742777347564697]	29.46357295999769	ok
9152d9f	multi_param_cosine_lr_3params_warmup	cbei	3	2	150	0.03	0.001	1763.195556640625	-1768.0238703779273	[0.0, 0.021805698052048683, -2.885955572128296]	29.273069707967807	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	liley	6	2	200	0.08	0.0002	16.14007568359375	-25.79670315819835	[0.006784667726606131, 5.715169208997395e-07, 1.4872408655719482e-06, -1.4534001593347057e-06, 4.7940568923950195, 0.5420700311660767]	49.31826557801105	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	liley	6	2	200	0.08	0.0002	16.140668869018555	-25.797296343623156	[0.006795543245971203, 5.714547341995058e-07, 1.4872612155159004e-06, -1.4533870853483677e-06, 4.794101715087891, 0.5420506596565247]	49.06614523904864	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	cmc	6	2	200	0.08	0.0002	14.191417694091797	-23.848045168696398	[-1.4221664667129517, -1.422005534172058, 0.00046993367141112685, 0.7123929858207703, 0.000412091234466061, 1.7221299231096054e-07]	43.64836293505505	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	cmc	6	2	200	0.08	0.0002	14.118609428405762	-23.775236903010363	[-1.4271235466003418, -1.426966905593872, 0.00047323605394922197, 0.7355523109436035, 0.0004142944235354662, 2.1469685407282668e-07]	43.64800898201065	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	rrw	6	2	200	0.08	0.0002	2265.485107421875	-2275.1417348964796	[0.0, 0.005127041134983301, -0.010600285604596138, -8.258667776317452e-07, 3.7584660053253174, 5.030486249779642e-07]	44.77471940801479	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	rrw	6	2	200	0.08	0.0002	2382.572021484375	-2392.2286489589796	[0.0, 1.4582763014914235e-06, 4.9664350854072836e-08, 7.155322236940265e-07, -4.546978950500488, -1.2583022908074781e-06]	44.94886338204378	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	cbei	6	2	200	0.08	0.0002	931.9453735351562	-941.6020010097609	[0.0, -1.4613834619522095, -0.0001035678360494785, 5.035341739654541, -1.8511192798614502, -5.805011749267578]	43.898634133976884	ok
9152d9f	multi_param_cosine_lr_6params_aggressive	cbei	6	2	200	0.08	0.0002	nan	nan	[nan, nan, nan, nan, nan, nan]	43.80017035600031	ok
9152d9f	multi_param_cosine_lr_best=4params_cosine	ALL	0	2	0	0.0	0.0	1027.5774602890015	-inf	[]	0.0	ok
9152d9f	cosine_3params_200steps	liley	3	2	200	0.05	0.0005	545.1956787109375	-550.0239924482398	[0.6571919918060303, 3.6361890920488804e-07, -2.09401041502133e-05]	38.29208793200087	ok
9152d9f	cosine_3params_200steps	liley	3	2	200	0.05	0.0005	545.2518920898438	-550.0802058271461	[0.6570687890052795, 3.635416589986562e-07, -2.093219336529728e-05]	38.445449900988024	ok
9152d9f	cosine_3params_200steps	cmc	3	2	200	0.05	0.0005	17.226869583129883	-22.055183320432185	[-1.2141690254211426, -1.2140487432479858, -8.013367391868087e-07]	32.34412120102206	ok
9152d9f	cosine_3params_200steps	cmc	3	2	200	0.05	0.0005	17.23130226135254	-22.05961599865484	[-1.2141717672348022, -1.2140538692474365, -8.01325597876712e-07]	32.332349203992635	ok
9152d9f	cosine_3params_200steps	rrw	3	2	200	0.05	0.0005	2263.712158203125	-2268.5404719404273	[0.0, 1.0147754210265703e-06, -6.031044540577568e-05]	29.861186685040593	ok
9152d9f	cosine_3params_200steps	rrw	3	2	200	0.05	0.0005	2286.583251953125	-2291.4115656904273	[0.0, -6.291132308433589e-07, 0.00011138855188619345]	29.895679267996456	ok
9152d9f	cosine_3params_200steps	cbei	3	2	200	0.05	0.0005	1876.092041015625	-1880.9203547529273	[0.0, -0.04247698560357094, 0.00047949294093996286]	37.832278250018135	ok
9152d9f	cosine_3params_200steps	cbei	3	2	200	0.05	0.0005	1878.84326171875	-1883.6715754560523	[0.0, 0.008997738361358643, 0.0005180403823032975]	37.85566755302716	ok
9152d9f	cosine_3params_200steps	ALL	0	2	0	0.0	0.0	1178.767056941986	-inf	[]	0.0	ok
9152d9f	warmup_4params_300steps	liley	4	2	300	0.08	0.001	20.502832412719727	-26.94058406245613	[0.0032609717454761267, 0.0002684075152501464, -0.00014244791236706078, 4.938145160675049]	58.33315090503311	ok
9152d9f	warmup_4params_300steps	liley	4	2	300	0.08	0.001	20.505290985107422	-26.943042634843824	[0.00326153333298862, -0.00016864523058757186, -0.0003064727352466434, 4.938450813293457]	58.26288784400094	ok
9152d9f	warmup_4params_300steps	cmc	4	2	300	0.08	0.001	16.403602600097656	-22.84135424983406	[-1.215855598449707, -1.2155510187149048, 0.0002994536189362407, 0.00011652352986857295]	47.166872349975165	ok
9152d9f	warmup_4params_300steps	cmc	4	2	300	0.08	0.001	16.410158157348633	-22.847909807085035	[-1.2160357236862183, -1.21571683883667, -0.0002710087283048779, -4.312387318350375e-05]	47.152921839035116	ok
9152d9f	warmup_4params_300steps	rrw	4	2	300	0.08	0.001	2081.099853515625	-2087.5376051653616	[0.0, -0.0004825836804229766, -0.00021477964764926583, 0.002856867853552103]	44.487620043044444	ok
9152d9f	warmup_4params_300steps	rrw	4	2	300	0.08	0.001	2088.5888671875	-2095.0266188372366	[0.0, 0.000687772931996733, 0.0001864987425506115, 0.0013312274822965264]	44.37607858196134	ok
9152d9f	warmup_4params_300steps	cbei	4	2	300	0.08	0.001	1780.3580322265625	-1786.7957838762989	[0.0, -0.35635799169540405, 0.003979227971285582, -0.5328962206840515]	57.32934392394964	ok
